UserID,NomComplet,Email,Pays,Langue,DateInscription,PagesVisitées,TempsTotal (sec),AjoutPanier,AjoutWishlist,ProduitsConsultés,ProduitsAchetés,PromosConsultées,DélaiEntreVisites (jours),SourceTrafic
158,Capucine-Louise Aubert,jgillet@example.com,Liban,Estonian,2024-02-03,8,388,4,0,5,1,0,18,Direct
159,Franck Dias,lneveu@example.com,Biélorussie,Hausa,2024-06-05,11,885,3,0,11,1,3,10,Recherche Organique
160,Maryse-Chantal Baudry,zacharie38@example.net,Mongolie,Bashkir,2024-09-03,7,1001,2,0,7,0,2,27,Réseaux Sociaux
161,Marine Duval,ibaudry@example.com,Équateur,Malay,2024-07-13,1,100,0,0,1,0,0,6,Direct
162,Patricia Lecoq,faureguillaume@example.com,Malte,Japanese,2024-05-08,17,356,5,2,11,1,4,4,Direct
163,Gilbert Munoz,djean@example.net,Géorgie du Sud et Sandwich du Sud (Îles),Amharic,2024-01-23,13,882,2,0,6,2,5,27,Direct
164,Alfred Torres,bertrandmartinez@example.net,Canada,Inupiaq,2024-08-01,13,557,4,2,10,4,0,6,Réseaux Sociaux
165,William Lebon,anoukpineau@example.com,Anguilla,Maltese,2024-02-15,10,993,1,0,7,1,3,21,Recherche Organique
166,Laetitia Julien,helenebenard@example.com,Syrie,Luxembourgish,2024-01-29,12,534,2,2,11,0,4,21,Réseaux Sociaux
167,Paul de Albert,lboyer@example.net,Burkina Faso,Faroese,2024-08-15,14,377,2,0,9,1,3,12,Direct
168,Roger Morvan,boyerceline@example.net,Benin,German,2024-08-21,5,319,0,0,3,0,0,14,Réseaux Sociaux
169,Pierre-William Voisin,catherine54@example.net,Guinée,Lingala,2024-11-16,8,378,4,0,4,4,0,28,Direct
170,Pierre Nguyen,paulette60@example.com,Lithuanie,Rundi,2024-09-03,1,1195,0,0,1,0,0,8,Publicité
171,Émilie Dijoux-Hardy,kbecker@example.net,Irak,Lingala,2024-04-29,8,1040,3,0,4,2,3,11,Publicité
172,Marcel Noël,oliviebourgeois@example.org,Trinité et Tobago,Czech,2024-05-29,13,203,4,2,10,1,1,0,Publicité
173,Sophie Tanguy,egonzalez@example.org,Tchad,Haitian,2024-10-03,7,342,2,0,5,0,5,14,Réseaux Sociaux
174,Madeleine Dubois,varnaud@example.net,Moldavie,Dutch,2024-08-29,6,515,0,0,6,0,1,30,Publicité
175,Henri Martin,clairethibault@example.net,Allemagne,Akan,2024-05-04,8,303,2,0,6,2,1,29,Publicité
176,Zacharie de la Leroy,theodorepotier@example.com,Jamaïque,Romansh,2024-11-15,9,636,3,0,5,2,5,19,Recherche Organique
177,Nicole Dos Santos,jcharrier@example.com,Pologne,Breton,2024-01-06,14,527,1,2,8,0,1,24,Direct
178,Roland Pottier,ngrenier@example.org,Guinée-Bissau,Afar,2024-05-06,11,427,0,2,9,0,5,10,Recherche Organique
179,Amélie Nicolas,xavierriviere@example.com,Samoa,Dzongkha,2024-10-31,13,1158,0,0,7,0,1,8,Direct
180,Alexandre Maillot de la Garcia,marysepotier@example.org,Bhoutan,Lao,2024-04-08,15,721,3,2,15,3,3,3,Recherche Organique
181,Jeanne Gauthier,meunierjeannine@example.com,Saint-Kitts et Nevis,Sango,2024-06-23,10,746,0,0,6,0,2,16,Direct
182,Inès Bertrand,maillotpaul@example.net,Espagne,Tatar,2024-10-20,17,803,3,2,11,0,2,9,Réseaux Sociaux
183,Nicole Maurice,susan05@example.net,Vierges britanniques (Îles),Breton,2024-11-23,2,432,0,0,2,0,0,17,Direct
184,Marcelle de Jacob,valleemarguerite@example.com,Yougoslavie,Galician,2024-08-12,7,674,0,0,6,0,1,22,Publicité
185,Georges Bertrand,bertrandcoste@example.org,Guam,Czech,2024-11-09,8,388,3,0,8,0,2,4,Publicité
186,Grégoire Hamel-Costa,mguillot@example.net,Kenya,Malay,2024-03-25,4,860,2,0,4,1,0,23,Réseaux Sociaux
187,Isabelle Robert,antoine09@example.com,Féroé (Îles),Quechua,2024-01-21,12,861,4,0,11,4,0,23,Réseaux Sociaux
188,Zacharie Gauthier-Perret,celinaalexandre@example.net,Niger,Nauru,2024-06-08,10,343,4,0,7,1,1,27,Direct
189,Auguste-Paul Legros,gaylorraine@example.net,Angola,Yoruba,2024-05-03,7,793,3,0,4,2,3,18,Recherche Organique
190,Thomas Laroche,lagardecorinne@example.com,Falkland (Île),Sanskrit,2024-10-04,19,1211,2,0,10,2,3,29,Direct
191,Capucine Moreno-Berthelot,theophile37@example.com,Roumanie,Swati,2024-07-18,15,703,5,0,9,0,4,8,Publicité
192,Martine-Olivie Maurice,phebert@example.net,Slovénie,Lithuanian,2024-11-21,10,895,3,0,6,3,2,2,Recherche Organique
193,Richard Clément,jules52@example.net,El Salvador,Corsican,2024-01-07,3,645,1,0,2,1,0,23,Publicité
194,Aimé de la Laroche,anouk89@example.org,Jamaïque,Tagalog,2024-10-26,5,638,0,0,2,0,0,13,Réseaux Sociaux
195,Victor Le Mathieu,agnesda-silva@example.com,Italie,Fulah,2024-08-01,10,209,3,0,8,3,5,29,Réseaux Sociaux
196,Timothée Petit de Diallo,margaudlabbe@example.net,Cayman (Îles),Afar,2024-04-16,8,385,3,0,8,1,1,17,Direct
197,Louise Pires-Munoz,celinamorel@example.org,Papouasie-Nouvelle-Guinée,Sinhala,2024-01-29,9,100,3,0,8,1,3,16,Publicité
198,Adrien Leclercq,meyerfranck@example.net,Tunisie,Turkish,2024-02-26,11,608,1,2,8,0,5,27,Publicité
199,Patricia Gérard-Albert,edouard12@example.com,Pérou,Sindhi,2024-01-25,14,1033,5,2,12,0,1,4,Direct
200,François Bouvet,nicolasdubois@example.net,Guinée Equatoriale,Ukrainian,2024-03-28,6,756,1,0,6,1,5,5,Réseaux Sociaux
201,David Cohen,raymond91@example.org,Portugal,Swati,2024-02-26,6,409,0,0,6,0,5,15,Publicité
202,Xavier Buisson,pierretristan@example.com,Aruba,Kurdish,2024-04-30,14,883,5,2,10,3,5,3,Direct
203,Maggie de la Guillot,suzanne79@example.com,Bosnie-Herzégovine,Avestan,2024-05-08,14,899,2,0,10,2,3,22,Recherche Organique
204,Gabrielle Petitjean,moniquemahe@example.net,Cameroun,French,2024-08-12,10,938,0,0,8,0,2,19,Direct
205,Robert Colin,marie38@example.org,Cook (Îles),Interlingua,2024-06-23,8,494,0,0,5,0,1,22,Réseaux Sociaux
206,Michel Faivre-Cohen,xmasson@example.net,Fidji (République des),Oromo,2024-03-01,17,491,1,0,15,1,0,18,Réseaux Sociaux
207,Maryse Charrier,matthieu81@example.org,Saint Vincent et les Grenadines,Hebrew,2024-09-07,11,458,5,2,5,4,4,3,Réseaux Sociaux
208,Lucy de Dumas,adelaideleleu@example.net,Taiwan,Kannada,2024-06-02,15,546,0,1,7,0,3,17,Publicité
209,Victor Rey,wroche@example.org,Guadeloupe,Persian,2024-11-24,6,508,0,0,6,0,2,28,Publicité
210,Rémy Langlois de la Tessier,blancalphonse@example.net,Cook (Îles),Igbo,2024-07-14,10,837,4,0,9,4,2,19,Recherche Organique
211,Grégoire Fleury,guillaumecarre@example.org,Svalbard et Jan Mayen (Îles),Cree,2024-11-09,8,757,4,0,7,3,3,19,Réseaux Sociaux
